OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.075,0.2249999999999999,12.198178150487973*(x-0.075)*(x-0.075)*(x-0.075)+1.9992603286455148*(x-0.075)*(x-0.075)-2.159768030420437*(x-0.075)+1.312158465385437
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.2249999999999999,0.3625,12.300666941125705*(x-0.22499999999999998)*(x-0.22499999999999998)*(x-0.22499999999999998)+0.141579831279532*(x-0.22499999999999998)*(x-0.22499999999999998)-0.7366129066688449*(x-0.22499999999999998)+1.0743454694747925
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.3625,0.495,-31.463548481935653*(x-0.3625)*(x-0.3625)*(x-0.3625)+7.338289896890277*(x-0.3625)*(x-0.3625)+0.0*(x-0.3625)+1.007714867591858
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.495,0.635,-7.535959935934475*(x-0.495)*(x-0.495)*(x-0.495)+0.5557621095177581*(x-0.495)*(x-0.495)+0.28750105356797495*(x-0.495)+1.0633571147918701
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.635,0.76,61.37135439033133*(x-0.635)*(x-0.635)*(x-0.635)-11.754190600060948*(x-0.635)*(x-0.635)+0.0*(x-0.635)+1.0938215255737305
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.76,0.85,-8.3187623210609*(x-0.76)*(x-0.76)*(x-0.76)+1.0512495176243084*(x-0.76)*(x-0.76)-0.06176541296845583*(x-0.76)+1.030028223991394
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.85,0.89,872.1917766692045*(x-0.85)*(x-0.85)*(x-0.85)-51.39792629767907*(x-0.85)*(x-0.85)-0.07468642419786009*(x-0.85)+1.0269200801849365
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.89,0.9,-52991.93973995686*(x-0.89)*(x-0.89)*(x-0.89)+1018.8592787243363*(x-0.89)*(x-0.89)+0.0*(x-0.89)+0.9975162148475647
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.9,0.91,-37867.73796535974*(x-0.9)*(x-0.9)*(x-0.9)+344.03588685541393*(x-0.9)*(x-0.9)+4.479603652499657*(x-0.9)+1.0464102029800415
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.91,0.92,196682.5384223874*(x-0.91)*(x-0.91)*(x-0.91)-3262.2661772612882*(x-0.91)*(x-0.91)+0.0*(x-0.91)+1.0877420902252197
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.92,0.93,19800.74826125504*(x-0.92)*(x-0.92)*(x-0.92)+15.01687700664857*(x-0.92)*(x-0.92)-6.240562018509495*(x-0.92)+0.9581980109214783
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.93,0.94,-321447.1340179542*(x-0.93)*(x-0.93)*(x-0.93)+4821.707010269263*(x-0.93)*(x-0.93)+0.0*(x-0.93)+0.9170948266983032
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.94,0.95,68644.7746851018*(x-0.94)*(x-0.94)*(x-0.94)-1238.70385418134*(x-0.94)*(x-0.94)+0.0*(x-0.94)+1.0778183937072754
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.95,0.96,15068.735117348524*(x-0.95)*(x-0.95)*(x-0.95)-68.96116499533055*(x-0.95)*(x-0.95)-4.180644678096243*(x-0.95)+1.0225927829742432
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.96,0.97,1898.956999019036*(x-0.96)*(x-0.96)*(x-0.96)+23.47801715462891*(x-0.96)*(x-0.96)-1.0392474427982903*(x-0.96)+0.9889589548110962
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.97,0.98,-151623.72589111287*(x-0.97)*(x-0.97)*(x-0.97)+2274.355888366695*(x-0.97)*(x-0.97)+0.0*(x-0.97)+0.9828132390975952
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.98,0.9875,197894.79787381587*(x-0.98)*(x-0.98)*(x-0.98)-2799.3077332533708*(x-0.98)*(x-0.98)+0.0*(x-0.98)+1.0586251020431519
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.9875,0.9925,274252.0062553498*(x-0.9875)*(x-0.9875)*(x-0.9875)-1197.4031611556686*(x-0.9875)*(x-0.9875)-8.594868857593926*(x-0.9875)+0.9846509099006653
3,iterativefit,central,2,0.0,2.5,70.0,100.0,0.9925,1.0025,30836.105346681412*(x-0.9924999999999999)*(x-0.9924999999999999)*(x-0.9924999999999999)+311.67268753049893*(x-0.9924999999999999)*(x-0.9924999999999999)+0.0*(x-0.9924999999999999)+0.9460229873657227
3,iterativefit,central,2,0.0,2.5,70.0,100.0,1.0025,1.1,1.008026361465454
3,iterativefit,central,2,0.0,2.5,100.0,140.0,-15.0,0.0,1.1541993618011475
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.0,0.075,1.334213376045227
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.075,0.2249999999999999,1.9858740966466026*(x-0.075)*(x-0.075)*(x-0.075)+1.0210482355795494*(x-0.075)*(x-0.075)-1.1985584729460514*(x-0.075)+1.334213376045227
